Motor, Cells, kV, Propeller Diameter (inches), Propeller Pitch (inches), Voltage (V), RPMs, Current (A), Power Consumption (W), Wh Flight time (Seconds), Thrust (lbs), Pitch Speed (ft/s), Efficiency = ((thrust/watt)*100), Estimated System Weight (lbs)
Cobra C-3525/12 ,6.00,650.00,11.00,8.50,22.20,10863.00,49.73,1104.10,326.06,6.58,87.40,0.60,2.26
Tempest 4130-540Kv ,6.00,540.00,11.00,8.50,22.20,10861.00,44.22,981.70,366.71,6.44,87.40,0.66,2.54
BadAss 3530-890 ,4.00,890.00,11.00,8.00,14.80,11519.00,77.88,1152.60,312.34,7.00,87.30,0.61,2.41
BadAss 4520-660Kv ,6.00,660.00,10.00,7.00,22.20,13160.00,50.87,1129.40,318.75,8.23,87.20,0.73,2.57
BadAss 2820-780 ,5.00,780.00,10.00,8.00,18.50,11514.00,43.01,795.80,452.37,5.31,87.20,0.67,2.03
BadAss 4530-730Kv ,6.00,730.00,10.00,6.00,22.20,15325.00,65.06,1444.30,249.26,7.63,87.10,0.53,2.87
BadAss 2814-1560Kv ,5.00,1560.00,7.00,4.00,18.50,22964.00,61.65,1140.60,315.62,5.22,87.00,0.46,1.96
BadAss 2820-780 ,5.00,780.00,11.00,8.00,18.50,11480.00,43.45,803.90,447.82,6.40,87.00,0.80,2.03
BadAss 3520-790 ,6.00,790.00,9.00,6.00,22.20,15313.00,42.08,934.10,385.40,5.48,87.00,0.59,2.20
BadAss 4520-660Kv ,5.00,660.00,11.00,8.50,18.50,10787.00,55.51,1026.80,350.60,6.33,86.80,0.62,2.57
BadAss 4520-830Kv ,5.00,830.00,11.00,7.00,18.50,13080.00,90.13,1667.50,215.89,9.03,86.70,0.54,2.57
Tempest 4120-700Kv ,6.00,700.00,11.00,7.00,22.20,13074.00,74.19,1647.00,218.58,8.99,86.70,0.55,2.32
BadAss 2814-1300 ,6.00,1300.00,7.00,4.00,22.20,22890.00,51.14,1135.30,317.10,5.16,86.70,0.45,1.96
Cobra C-4120/14 ,6.00,710.00,10.00,7.00,22.20,13083.00,47.09,1045.30,344.40,6.48,86.70,0.62,2.35
BadAss 2826-690 ,6.00,690.00,9.00,7.00,22.20,13079.00,34.24,760.10,473.62,5.88,86.70,0.77,2.10
BadAss 3515-1130 ,4.00,1130.00,10.00,7.00,14.80,13069.00,73.41,1086.50,331.34,6.30,86.60,0.58,2.11
Tempest 2820-1460Kv ,3.00,1460.00,9.00,8.00,11.10,11414.00,66.68,740.10,486.42,5.10,86.50,0.69,2.00
Tempest 2820-1170Kv ,4.00,1170.00,9.00,7.00,14.80,13056.00,57.41,849.60,423.73,5.80,86.50,0.68,2.00
BadAss 2826-820Kv ,5.00,820.00,9.00,7.00,18.50,13010.00,41.39,765.60,470.22,5.69,86.20,0.74,2.09
BadAss 3520-970 ,4.00,970.00,11.00,8.00,14.80,11365.00,79.05,1170.00,307.69,7.92,86.10,0.68,2.19
Cobra C-4120/16 ,5.00,610.00,12.00,10.00,18.50,9094.00,53.41,988.00,364.37,6.23,86.10,0.63,2.34
BadAss 4520-830Kv ,4.00,830.00,11.00,8.50,14.80,10680.00,67.57,1000.10,359.96,6.18,86.00,0.62,2.57
BadAss 3530-700 ,5.00,700.00,11.00,8.00,18.50,11347.00,57.70,1067.50,337.24,7.90,86.00,0.74,2.40
Cobra C-4120/12 ,5.00,850.00,10.00,7.00,18.50,12979.00,56.48,1044.80,344.56,6.40,86.00,0.61,2.35
Cobra C-3515/14 ,5.00,950.00,9.00,7.00,18.50,12970.00,42.82,792.10,454.49,5.93,86.00,0.75,2.09
BadAss 3530-700 ,5.00,700.00,11.00,8.00,18.50,11343.00,57.29,1059.80,339.69,6.68,85.90,0.63,2.40
Tempest 4130-690Kv ,5.00,690.00,11.00,8.00,18.50,11337.00,56.75,1049.90,342.89,7.83,85.90,0.75,2.54
Cobra C-4120/14 ,5.00,710.00,11.00,8.50,18.50,10669.00,54.83,1014.30,354.92,6.52,85.90,0.64,2.35
BadAss 3530-650Kv ,6.00,570.00,11.00,8.50,22.20,10666.00,42.62,946.20,380.47,6.27,85.90,0.66,2.40
BadAss 4520-660Kv ,6.00,660.00,11.00,7.00,22.20,12944.00,62.85,1395.40,257.99,9.78,85.80,0.70,2.57
Cobra C-3525/10 ,5.00,780.00,11.00,8.50,18.50,10665.00,56.95,1053.50,341.72,6.41,85.80,0.61,2.26
BadAss 2820-1080 ,4.00,1080.00,9.00,7.00,14.80,12945.00,52.62,778.80,462.25,5.70,85.80,0.73,2.03
BadAss 3515-940 ,4.00,940.00,10.00,8.00,14.80,11323.00,50.12,741.70,485.37,5.07,85.80,0.68,2.11
Tempest 2826-920Kv ,4.00,920.00,9.00,8.00,14.80,11327.00,43.34,641.40,561.27,5.03,85.80,0.78,2.07
Tempest 4130-690Kv ,5.00,690.00,11.00,8.00,18.50,11309.00,56.30,1041.50,345.66,6.62,85.70,0.64,2.54
Tempest 4130-460Kv ,6.00,460.00,14.00,10.00,22.20,9050.00,54.83,1217.20,295.76,9.59,85.70,0.79,2.54
BadAss 3520-650Kv ,6.00,650.00,10.00,7.00,22.20,12928.00,43.44,964.30,373.33,6.14,85.70,0.64,2.21
BadAss 3520-790 ,4.00,790.00,12.00,10.00,14.80,9014.00,67.40,997.50,360.90,5.81,85.40,0.58,2.20
BadAss 3515-940 ,4.00,940.00,12.00,8.50,14.80,10605.00,64.43,953.60,377.52,7.51,85.40,0.79,2.11
BadAss 3520-970 ,4.00,970.00,11.00,8.00,14.80,11264.00,81.88,1211.80,297.08,6.70,85.30,0.55,2.19
BadAss 3515-1130 ,4.00,1130.00,10.00,7.00,14.80,12871.00,78.02,1154.70,311.77,7.86,85.30,0.68,2.11
BadAss 3515-940 ,4.00,940.00,11.00,8.00,14.80,11258.00,51.24,758.30,474.75,6.19,85.30,0.82,2.11
Cobra C-4120/16 ,6.00,610.00,11.00,8.00,22.20,11266.00,49.24,1093.10,329.34,6.96,85.30,0.64,2.34
Tempest 2820-840Kv ,6.00,840.00,9.00,6.00,22.20,15020.00,42.48,943.10,381.72,5.47,85.30,0.58,2.00
Tempest 4130-460Kv ,5.00,460.00,15.00,12.00,18.50,7500.00,54.86,1014.90,354.71,9.73,85.20,0.96,2.54
BadAss 4530-550Kv ,5.00,550.00,14.00,10.00,18.50,8986.00,67.75,1253.40,287.22,9.25,85.10,0.74,2.86
Tempest 4120-700Kv ,5.00,700.00,11.00,8.00,18.50,11236.00,54.89,1015.40,354.54,7.78,85.10,0.77,2.32
BadAss 2820-1820 ,3.00,1820.00,9.00,6.00,11.10,14956.00,88.51,982.40,366.45,5.46,85.00,0.56,2.03
BadAss 2826-1030 ,4.00,1030.00,9.00,7.00,14.80,12830.00,49.48,732.30,491.60,5.68,85.00,0.78,2.10
Tempest 4130-540Kv ,5.00,540.00,12.00,10.00,18.50,8975.00,45.15,835.20,431.03,5.77,85.00,0.69,2.54
BadAss 3530-470 ,6.00,470.00,13.00,10.00,22.20,8974.00,38.25,849.10,423.98,7.87,85.00,0.93,2.39
BadAss 4520-660Kv ,6.00,660.00,11.00,7.00,22.20,12805.00,68.28,1515.80,237.50,8.62,84.90,0.57,2.57
BadAss 3530-890 ,5.00,890.00,10.00,6.00,18.50,14947.00,68.16,1261.00,285.49,7.35,84.90,0.58,2.41
BadAss 3515-710 ,6.00,710.00,10.00,7.00,22.20,12815.00,43.41,963.70,373.56,6.07,84.90,0.63,2.11
Tempest 4130-460Kv ,6.00,460.00,13.00,10.00,22.20,8953.00,60.26,1337.90,269.08,7.70,84.80,0.58,2.54
