Motor, Weight (oz), Cells, kV, Propeller, Propeller Diameter (inches), Propeller Pitch (inches), Voltage (V), RPMs, Current (A), Power Consumption (W), Wh Flight time (Minutes), Ah Flight time (Minutes), Thrust (lbs), Pitch Speed (ft/s), Efficiency = ((thrust/watt)*100), Score = (Thrust*Time), Estimated System Weight (oz), Battery Capacity (Wh), Motor Resistance, I Max, P Max, Outside Diameter, Body Length, Total Shaft Length
Cobra C-2213/12 , 2.11, 4.0, 2000.0, 5.25x4.75-E, 5.25, 4.75, 14.8, 23120, 25.58, 378.6, 15.480190174326465, 15.480844409695075, 1.7375, 104.0, 0.4589276281035393, 26.896830427892233, 28.498475, 97.68, 0.04, 30.0, -1.0, 1.09, 1.1, 1.65
Cobra C-2213/12 , 2.11, 4.0, 2000.0, 5.5x4.5-E, 5.5, 4.5, 14.8, 22990, 26.08, 386.0, 15.183419689119171, 15.184049079754603, 1.803125, 98.0, 0.46713082901554404, 27.377603626943007, 28.498475, 97.68, 0.04, 30.0, -1.0, 1.09, 1.1, 1.65
Cobra C-2213/12 , 2.11, 4.0, 2000.0, 6x4-E, 6.0, 4.0, 14.8, 22300, 29.14, 431.2, 13.591836734693878, 13.589567604667122, 2.39, 84.5, 0.5542671614100185, 32.48448979591837, 28.498475, 97.68, 0.04, 30.0, -1.0, 1.09, 1.1, 1.65
Cobra C-2213/18 , 2.15, 2.0, 1350.0, 8x6-E, 8.0, 6.0, 7.4, 7830, 12.64, 93.5, 64.1711229946524, 64.14642490591856, 1.066875, 44.5, 1.1410427807486632, 68.46256684491979, 32.15, 100, 0.068, 20.0, -1.0, 1.09, 1.1, 1.65
Cobra C-2213/18 , 2.15, 2.0, 1350.0, 8x8-E, 8.0, 8.0, 7.4, 7220, 15.94, 118.0, 50.847457627118644, 50.86642476855776, 1.01625, 54.7, 0.8612288135593221, 51.67372881355933, 32.15, 100, 0.068, 20.0, -1.0, 1.09, 1.1, 1.65
Cobra C-2213/18 , 2.15, 2.0, 1350.0, 9x3.8-SF, 9.0, 3.8, 7.4, 7730, 13.02, 96.3, 62.30529595015577, 62.27425582264292, 1.404375, 27.8, 1.4583333333333335, 87.5, 32.15, 100, 0.068, 20.0, -1.0, 1.09, 1.1, 1.65
Cobra C-2213/18 , 2.15, 2.0, 1350.0, 9x4.5-E, 9.0, 4.5, 7.4, 7940, 11.89, 88.0, 68.18181818181819, 68.19266701520696, 1.3425, 33.8, 1.5255681818181819, 91.53409090909092, 32.15, 100, 0.068, 20.0, -1.0, 1.09, 1.1, 1.65
Cobra C-2213/18 , 2.15, 2.0, 1350.0, 9x4.7-SF, 9.0, 4.7, 7.4, 7690, 13.23, 97.9, 61.287027579162405, 61.28577557148986, 1.448125, 34.2, 1.479187946884576, 88.75127681307457, 32.15, 100, 0.068, 20.0, -1.0, 1.09, 1.1, 1.65
Cobra C-2213/18 , 2.15, 2.0, 1350.0, 9x6-E, 9.0, 6.0, 7.4, 7620, 13.66, 101.1, 59.34718100890208, 59.35657472992758, 1.3625, 43.3, 1.347675568743818, 80.8605341246291, 32.15, 100, 0.068, 20.0, -1.0, 1.09, 1.1, 1.65
Cobra C-2213/18 , 2.15, 2.0, 1350.0, 9x6-SF, 9.0, 6.0, 7.4, 6510, 19.87, 147.0, 40.816326530612244, 40.8057780981787, 1.545625, 37.0, 1.0514455782312926, 63.08673469387755, 32.15, 100, 0.068, 20.0, -1.0, 1.09, 1.1, 1.65
