Motor, Cells, kV, Propeller Diameter (inches), Propeller Pitch (inches), Voltage (V), RPMs, Current (A), Power Consumption (W), Wh Flight time (Seconds), Thrust (Kg), Pitch Speed (m/s), Efficiency = ((thrust/watt)*100), Estimated System Weight (Kg)
Cobra C-3525/10  Twin,6.00,780.00,10.00,7.00,22.20,13315.00,103.58,2299.60,313.10,6.07,39.47,0.26,1.40
BadAss 2826-690  Twin,4.00,690.00,12.00,12.00,14.80,7767.00,96.26,1424.60,505.41,3.78,39.47,0.27,1.25
Cobra C-3525/10 ,6.00,780.00,10.00,7.00,22.20,13315.00,51.79,1149.80,313.10,3.04,39.47,0.26,1.08
BadAss 3520-790 ,5.00,790.00,11.00,8.00,18.50,11654.00,66.87,1237.10,291.00,3.71,39.47,0.30,1.06
BadAss 3530-700 ,6.00,700.00,11.00,7.00,22.20,13322.00,69.90,1551.80,231.99,4.72,39.47,0.30,1.15
BadAss 4520-540Kv ,5.00,540.00,14.00,12.00,18.50,7771.00,72.56,1342.30,268.20,3.19,39.47,0.24,1.23
BadAss 2814-1560Kv  Twin,4.00,1560.00,7.00,5.00,14.80,18635.00,91.64,1356.20,530.90,3.21,39.43,0.24,1.13
BadAss 2315-1090Kv  Twin,6.00,1090.00,7.00,5.00,22.20,18608.00,63.76,1415.20,508.76,3.29,39.38,0.23,0.78
BadAss 3520-790 ,5.00,790.00,11.00,8.00,18.50,11627.00,68.69,1270.80,283.29,3.18,39.38,0.25,1.06
Tempest 4130-690Kv ,6.00,690.00,11.00,7.00,22.20,13295.00,75.39,1673.70,215.09,4.29,39.38,0.26,1.21
Cobra C-2826/10  Twin,4.00,930.00,9.00,9.00,14.80,10326.00,74.84,1107.40,650.17,3.02,39.34,0.27,1.23
BadAss 3520-650Kv  Twin,6.00,650.00,9.00,7.00,22.20,13271.00,68.94,1530.40,470.47,5.31,39.34,0.35,1.35
Tempest 2826-1140Kv  Twin,5.00,1140.00,7.00,5.00,18.50,18590.00,74.02,1369.20,525.85,3.32,39.34,0.24,1.22
Tempest 3515-950Kv  Twin,6.00,950.00,7.00,5.00,22.20,18558.00,57.42,1274.60,564.88,3.14,39.29,0.25,1.23
Tempest 4120-700Kv ,6.00,700.00,11.00,7.00,22.20,13261.00,67.79,1504.90,239.22,4.62,39.29,0.31,1.11
Cobra C-2826-EF1  Twin,6.00,1200.00,7.00,4.00,22.20,23183.00,99.82,2216.00,324.91,4.87,39.25,0.22,1.24
Cobra C-2826-EF1-SS  Twin,6.00,1200.00,7.00,4.00,22.20,23183.00,99.82,2216.00,324.91,4.87,39.25,0.22,1.24
BadAss 2820-910Kv  Twin,5.00,910.00,9.00,7.00,18.50,13251.00,91.86,1699.40,423.68,5.50,39.25,0.32,1.19
BadAss 3515-710  Twin,6.00,710.00,9.00,7.00,22.20,13249.00,72.40,1607.20,447.98,5.56,39.25,0.35,1.26
Tempest 4120-600Kv  Twin,6.00,600.00,9.00,7.50,22.20,12356.00,72.76,1615.20,445.77,3.88,39.25,0.24,1.45
Tempest 2826-1470Kv  Twin,5.00,1470.00,7.00,4.00,18.50,23164.00,81.26,1503.20,478.98,3.96,39.20,0.26,1.23
Cobra C-4130/14 ,6.00,450.00,14.00,12.00,22.20,7719.00,58.73,1303.90,276.09,3.24,39.20,0.25,1.23
Cobra C-3525/10  Twin,6.00,780.00,10.00,7.00,22.20,13219.00,107.46,2385.80,301.79,7.80,39.16,0.33,1.40
Cobra C-3525/12  Twin,5.00,650.00,11.00,10.00,18.50,9247.00,82.14,1519.60,473.81,4.19,39.16,0.28,1.40
Tempest 4120-700Kv  Twin,5.00,700.00,10.00,8.00,18.50,11567.00,86.14,1593.40,451.86,4.54,39.16,0.29,1.45
Cobra C-3525/10 ,6.00,780.00,10.00,7.00,22.20,13219.00,53.73,1192.90,301.79,3.90,39.16,0.33,1.08
BadAss 3530-700 ,6.00,700.00,11.00,7.00,22.20,13212.00,73.94,1641.40,219.32,4.17,39.16,0.25,1.15
BadAss 4520-830Kv ,5.00,830.00,11.00,7.00,18.50,13222.00,82.64,1528.80,235.48,4.68,39.16,0.31,1.24
Tempest 4130-400Kv ,6.00,400.00,14.00,12.00,22.20,7705.00,55.89,1240.80,290.14,3.22,39.16,0.26,1.21
BadAss 3530-700  Twin,4.00,700.00,11.00,10.00,14.80,9236.00,94.82,1403.20,513.11,4.06,39.11,0.29,1.53
BadAss 4520-660Kv  Twin,6.00,660.00,10.00,7.00,22.20,13200.00,96.64,2145.20,335.63,5.76,39.11,0.27,1.68
BadAss 3530-890 ,4.00,890.00,11.00,8.00,14.80,11549.00,77.74,1150.50,312.91,3.74,39.11,0.33,1.15
Cobra C-3525/12  Twin,6.00,650.00,11.00,8.50,22.20,10863.00,99.46,2208.20,326.06,5.97,39.07,0.27,1.40
BadAss 2826-690  Twin,6.00,690.00,9.00,7.50,22.20,12301.00,76.22,1692.20,425.48,3.96,39.07,0.23,1.25
Tempest 4130-540Kv  Twin,6.00,540.00,11.00,8.50,22.20,10861.00,88.44,1963.40,366.71,5.85,39.07,0.30,1.65
BadAss 3530-890 ,4.00,890.00,11.00,8.00,14.80,11519.00,77.88,1152.60,312.34,3.17,39.02,0.28,1.15
BadAss 2820-780  Twin,5.00,780.00,10.00,8.00,18.50,11514.00,86.02,1591.60,452.37,4.82,38.98,0.30,1.19
BadAss 3530-630Kv  Twin,6.00,630.00,10.00,7.00,22.20,13155.00,92.30,2048.80,351.43,5.79,38.98,0.28,1.54
BadAss 4520-660Kv  Twin,6.00,660.00,10.00,7.00,22.20,13160.00,101.74,2258.80,318.75,7.47,38.98,0.33,1.68
BadAss 4520-660Kv ,6.00,660.00,10.00,7.00,22.20,13160.00,50.87,1129.40,318.75,3.73,38.98,0.33,1.23
BadAss 4530-730Kv ,6.00,730.00,10.00,6.00,22.20,15325.00,65.06,1444.30,249.26,3.46,38.93,0.24,1.36
BadAss 2820-780  Twin,5.00,780.00,11.00,8.00,18.50,11480.00,86.90,1607.80,447.82,5.81,38.89,0.36,1.19
BadAss 3520-790  Twin,6.00,790.00,9.00,6.00,22.20,15313.00,84.16,1868.20,385.40,4.97,38.89,0.27,1.34
Cobra C-2826/6  Twin,4.00,1470.00,7.00,5.00,14.80,18352.00,88.22,1305.80,551.39,3.21,38.84,0.25,1.23
BadAss 3530-630Kv  Twin,6.00,630.00,10.00,7.00,22.20,13087.00,97.26,2159.40,333.43,7.40,38.80,0.34,1.54
BadAss 3530-630Kv ,6.00,630.00,10.00,7.00,22.20,13087.00,48.63,1079.70,333.43,3.70,38.80,0.34,1.16
Cobra C-2820/8  Twin,4.00,1450.00,7.00,5.00,14.80,18301.00,87.78,1299.20,554.19,3.21,38.75,0.25,1.17
Cobra C-4120/14  Twin,6.00,710.00,10.00,7.00,22.20,13083.00,94.18,2090.60,344.40,5.88,38.75,0.28,1.48
BadAss 2814-1300  Twin,6.00,1300.00,7.00,4.00,22.20,22890.00,102.28,2270.60,317.10,4.68,38.75,0.21,1.13
BadAss 2826-690  Twin,6.00,690.00,9.00,7.00,22.20,13079.00,68.48,1520.20,473.62,5.34,38.75,0.35,1.25
BadAss 4520-830Kv ,5.00,830.00,11.00,7.00,18.50,13080.00,90.13,1667.50,215.89,4.10,38.75,0.25,1.24
Tempest 4120-700Kv ,6.00,700.00,11.00,7.00,22.20,13074.00,74.19,1647.00,218.58,4.08,38.75,0.25,1.11
Tempest 2820-1170Kv  Twin,6.00,1170.00,7.00,4.00,22.20,22850.00,80.98,1797.60,400.53,4.20,38.71,0.23,1.16
Tempest 4120-830Kv  Twin,4.00,830.00,10.00,8.00,14.80,11430.00,105.22,1557.20,462.37,4.44,38.71,0.28,1.45
Tempest 4130-540Kv  Twin,5.00,540.00,11.00,10.00,18.50,9148.00,73.58,1361.20,528.95,3.96,38.71,0.29,1.65
Tempest 4130-690Kv  Twin,4.00,690.00,11.00,10.00,14.80,9146.00,92.04,1362.20,528.56,3.93,38.71,0.29,1.66
BadAss 2814-1120  Twin,5.00,1120.00,7.00,5.00,18.50,18264.00,65.62,1214.00,593.08,3.13,38.67,0.26,1.13
BadAss 2814-870  Twin,6.00,870.00,8.00,6.00,22.20,15230.00,65.56,1455.40,494.71,3.82,38.67,0.26,1.12
BadAss 3530-630Kv  Twin,5.00,630.00,11.00,8.50,18.50,10730.00,103.06,1906.80,377.60,6.01,38.62,0.32,1.54
Tempest 3515-1330Kv  Twin,4.00,1330.00,8.00,6.00,14.80,15201.00,91.56,1355.00,531.37,4.38,38.62,0.32,1.23
BadAss 3530-630Kv ,5.00,630.00,11.00,8.50,18.50,10730.00,51.53,953.40,377.60,3.00,38.62,0.32,1.16
BadAss 2826-1360  Twin,4.00,1360.00,7.00,5.00,14.80,18227.00,79.86,1182.00,609.14,3.09,38.58,0.26,1.26
Cobra C-3520/18  Twin,6.00,550.00,11.00,10.00,22.20,9101.00,65.66,1457.60,493.96,4.06,38.53,0.28,1.32
BadAss 2814-980Kv  Twin,6.00,980.00,7.00,5.00,22.20,18201.00,54.38,1207.20,596.42,3.10,38.53,0.26,1.13
BadAss 2826-820Kv  Twin,5.00,820.00,9.00,7.00,18.50,13010.00,82.78,1531.20,470.22,5.16,38.53,0.34,1.24
Cobra C-4120/16  Twin,5.00,610.00,12.00,10.00,18.50,9094.00,106.82,1976.00,364.37,5.65,38.49,0.29,1.47
BadAss 3520-970 ,4.00,970.00,11.00,8.00,14.80,11365.00,79.05,1170.00,307.69,3.59,38.49,0.31,1.06
Cobra C-3515/14  Twin,5.00,950.00,9.00,7.00,18.50,12970.00,85.64,1584.20,454.49,5.38,38.44,0.34,1.25
Cobra C-3520/14  Twin,6.00,700.00,9.00,7.50,22.20,12111.00,72.52,1609.80,447.26,3.89,38.44,0.24,1.32
BadAss 3530-700 ,5.00,700.00,11.00,8.00,18.50,11347.00,57.70,1067.50,337.24,3.58,38.44,0.34,1.15
Cobra C-4120/14  Twin,5.00,710.00,11.00,8.50,18.50,10669.00,109.66,2028.60,354.92,5.92,38.40,0.29,1.48
BadAss 3530-650Kv  Twin,6.00,570.00,11.00,8.50,22.20,10666.00,85.24,1892.40,380.47,5.68,38.40,0.30,1.53
Tempest 2826-920Kv  Twin,5.00,920.00,8.00,6.00,18.50,15120.00,70.52,1304.60,551.89,4.39,38.40,0.34,1.22
BadAss 3530-700 ,5.00,700.00,11.00,8.00,18.50,11343.00,57.29,1059.80,339.69,3.03,38.40,0.29,1.15
Tempest 4130-690Kv ,5.00,690.00,11.00,8.00,18.50,11337.00,56.75,1049.90,342.89,3.55,38.40,0.34,1.21
Cobra C-2826-EF1  Twin,4.00,1200.00,8.00,6.00,14.80,15096.00,85.44,1264.40,569.44,4.33,38.35,0.34,1.24
Cobra C-2826-EF1-SS  Twin,4.00,1200.00,8.00,6.00,14.80,15096.00,85.44,1264.40,569.44,4.33,38.35,0.34,1.24
BadAss 2820-1080  Twin,4.00,1080.00,9.00,7.00,14.80,12945.00,105.24,1557.60,462.25,5.17,38.35,0.33,1.19
BadAss 3515-940  Twin,4.00,940.00,10.00,8.00,14.80,11323.00,100.24,1483.40,485.37,4.60,38.35,0.31,1.26
Tempest 2826-920Kv  Twin,4.00,920.00,9.00,8.00,14.80,11327.00,86.68,1282.80,561.27,4.56,38.35,0.36,1.22
BadAss 4520-660Kv ,6.00,660.00,11.00,7.00,22.20,12944.00,62.85,1395.40,257.99,4.44,38.35,0.32,1.23
Cobra C-3525/18  Twin,6.00,430.00,12.00,12.00,22.20,7539.00,54.04,1199.60,600.20,3.65,38.31,0.30,1.40
BadAss 3520-650Kv  Twin,6.00,650.00,10.00,7.00,22.20,12928.00,86.88,1928.60,373.33,5.57,38.31,0.29,1.35
BadAss 3530-650Kv  Twin,5.00,570.00,11.00,10.00,18.50,9050.00,69.14,1279.20,562.85,3.90,38.31,0.31,1.53
Tempest 2826-1470Kv  Twin,5.00,1470.00,7.00,4.00,18.50,22636.00,95.24,1761.80,408.67,4.16,38.31,0.24,1.23
Tempest 4120-700Kv  Twin,4.00,700.00,11.00,10.00,14.80,9055.00,89.70,1327.60,542.33,3.88,38.31,0.29,1.45
Tempest 4130-460Kv  Twin,6.00,460.00,14.00,10.00,22.20,9050.00,109.66,2434.40,295.76,8.70,38.31,0.36,1.65
Tempest 4130-460Kv ,6.00,460.00,14.00,10.00,22.20,9050.00,54.83,1217.20,295.76,4.35,38.31,0.36,1.21
Tempest 4130-690Kv ,5.00,690.00,11.00,8.00,18.50,11309.00,56.30,1041.50,345.66,3.00,38.31,0.29,1.21
Tempest 2826-1470Kv  Twin,4.00,1470.00,7.00,5.00,14.80,18086.00,82.48,1220.60,589.87,3.09,38.26,0.25,1.23
Tempest 3515-1330Kv  Twin,4.00,1330.00,8.00,6.00,14.80,15069.00,94.30,1395.60,515.91,3.89,38.26,0.28,1.23
BadAss 3530-630Kv ,4.00,630.00,14.00,12.00,14.80,7525.00,87.38,1293.30,278.36,3.00,38.22,0.23,1.17
Tempest 2826-1140Kv  Twin,6.00,1140.00,7.00,4.00,22.20,22539.00,78.16,1735.40,414.89,4.23,38.17,0.24,1.22
BadAss 3515-940 ,4.00,940.00,12.00,8.50,14.80,10605.00,64.43,953.60,377.52,3.41,38.17,0.36,1.02
Cobra C-4120/16  Twin,4.00,610.00,12.00,12.00,14.80,7506.00,80.48,1191.20,604.43,3.72,38.13,0.31,1.47
Cobra C-4120/16  Twin,6.00,610.00,11.00,8.00,22.20,11266.00,98.48,2186.20,329.34,6.31,38.13,0.29,1.47
BadAss 3515-940  Twin,4.00,940.00,11.00,8.00,14.80,11258.00,102.48,1516.60,474.75,5.61,38.13,0.37,1.26
Tempest 2820-840Kv  Twin,6.00,840.00,9.00,6.00,22.20,15020.00,84.96,1886.20,381.72,4.97,38.13,0.26,1.16
Tempest 2826-920Kv  Twin,5.00,920.00,8.00,6.00,18.50,15020.00,73.48,1359.20,529.72,3.96,38.13,0.29,1.22
Cobra C-4120/16 ,6.00,610.00,11.00,8.00,22.20,11266.00,49.24,1093.10,329.34,3.15,38.13,0.29,1.12
BadAss 3515-1130 ,4.00,1130.00,10.00,7.00,14.80,12871.00,78.02,1154.70,311.77,3.57,38.13,0.31,1.02
BadAss 3520-970 ,4.00,970.00,11.00,8.00,14.80,11264.00,81.88,1211.80,297.08,3.04,38.13,0.25,1.06
Tempest 2820-1460Kv  Twin,5.00,1460.00,7.00,4.00,18.50,22495.00,94.52,1748.80,411.71,4.13,38.08,0.24,1.17
Tempest 2820-970Kv  Twin,5.00,970.00,8.00,6.00,18.50,14989.00,69.88,1292.80,556.93,4.26,38.08,0.33,1.16
Tempest 4130-460Kv  Twin,5.00,460.00,15.00,12.00,18.50,7500.00,109.72,2029.80,354.71,8.83,38.08,0.43,1.65
Tempest 4130-460Kv ,5.00,460.00,15.00,12.00,18.50,7500.00,54.86,1014.90,354.71,4.41,38.08,0.43,1.21
BadAss 2814-1950  Twin,3.00,1950.00,7.00,5.00,11.10,17974.00,106.16,1178.40,611.00,3.06,38.04,0.26,1.13
Tempest 3515-950Kv  Twin,5.00,950.00,8.00,6.00,18.50,14976.00,67.38,1246.60,577.57,4.19,38.04,0.34,1.23
Tempest 4120-700Kv  Twin,5.00,700.00,11.00,8.00,18.50,11236.00,109.78,2030.80,354.54,7.06,38.04,0.35,1.45
BadAss 4530-550Kv ,5.00,550.00,14.00,10.00,18.50,8986.00,67.75,1253.40,287.22,4.20,38.04,0.33,1.36
Tempest 4120-700Kv ,5.00,700.00,11.00,8.00,18.50,11236.00,54.89,1015.40,354.54,3.53,38.04,0.35,1.11
BadAss 2826-1030  Twin,4.00,1030.00,9.00,7.00,14.80,12830.00,98.96,1464.60,491.60,5.15,37.99,0.35,1.25
BadAss 3530-470  Twin,6.00,470.00,13.00,10.00,22.20,8974.00,76.50,1698.20,423.98,7.14,37.99,0.42,1.52
Tempest 4130-540Kv  Twin,5.00,540.00,12.00,10.00,18.50,8975.00,90.30,1670.40,431.03,5.23,37.99,0.31,1.65
BadAss 3530-470 ,6.00,470.00,13.00,10.00,22.20,8974.00,38.25,849.10,423.98,3.57,37.99,0.42,1.14
Cobra C-2820/10  Twin,5.00,1170.00,7.00,5.00,18.50,17934.00,63.48,1174.40,613.08,3.06,37.95,0.26,1.18
BadAss 3515-710  Twin,6.00,710.00,10.00,7.00,22.20,12815.00,86.82,1927.40,373.56,5.50,37.95,0.29,1.26
BadAss 3530-890 ,5.00,890.00,10.00,6.00,18.50,14947.00,68.16,1261.00,285.49,3.33,37.95,0.26,1.15
BadAss 4520-660Kv ,6.00,660.00,11.00,7.00,22.20,12805.00,68.28,1515.80,237.50,3.91,37.95,0.26,1.23
BadAss 3520-650Kv  Twin,6.00,650.00,10.00,7.00,22.20,12798.00,93.46,2075.00,346.99,6.97,37.91,0.34,1.35
BadAss 3520-790  Twin,5.00,790.00,9.00,7.00,18.50,12788.00,74.88,1385.20,519.78,4.87,37.91,0.35,1.34
Tempest 3515-950Kv  Twin,4.00,950.00,9.00,8.00,14.80,11199.00,80.88,1197.00,601.50,4.30,37.91,0.36,1.23
BadAss 3520-650Kv ,6.00,650.00,10.00,7.00,22.20,12798.00,46.73,1037.50,346.99,3.48,37.91,0.34,1.06
BadAss 3530-700 ,4.00,700.00,13.00,10.00,14.80,8959.00,57.07,844.60,426.24,3.44,37.91,0.41,1.15
Tempest 4130-460Kv ,6.00,460.00,13.00,10.00,22.20,8953.00,60.26,1337.90,269.08,3.49,37.91,0.26,1.21
Cobra C-3520/14  Twin,4.00,700.00,12.00,12.00,14.80,7457.00,84.92,1257.00,572.79,3.56,37.86,0.28,1.32
Cobra CP-2814-1050  Twin,5.00,1050.00,7.00,5.00,18.50,17890.00,61.94,1145.80,628.38,3.03,37.86,0.26,1.13
BadAss 3530-470  Twin,6.00,470.00,12.00,10.00,22.20,8949.00,76.16,1690.60,425.88,5.28,37.86,0.31,1.52
Tempest 2820-1460Kv  Twin,4.00,1460.00,7.00,5.00,14.80,17892.00,82.86,1226.20,587.18,3.05,37.86,0.25,1.17
BadAss 3530-630Kv ,6.00,630.00,11.00,7.00,22.20,12767.00,59.65,1324.20,271.86,4.38,37.82,0.33,1.16
BadAss 3530-630Kv  Twin,5.00,630.00,10.00,8.00,18.50,11156.00,73.52,1360.00,529.41,4.25,37.77,0.31,1.54
Tempest 4130-690Kv ,4.00,690.00,13.00,10.00,14.80,8921.00,58.42,864.60,416.38,3.48,37.77,0.40,1.21
BadAss 2820-780  Twin,5.00,780.00,9.00,7.50,18.50,11887.00,74.98,1387.00,519.11,3.77,37.73,0.27,1.19
BadAss 2826-690  Twin,6.00,690.00,10.00,7.00,22.20,12725.00,81.90,1818.40,395.95,5.40,37.73,0.30,1.25
Tempest 2820-970Kv  Twin,5.00,970.00,8.00,6.00,18.50,14863.00,73.14,1353.00,532.15,3.79,37.73,0.28,1.16
Cobra C-3520/10  Twin,5.00,980.00,8.00,6.00,18.50,14837.00,65.94,1219.80,590.26,4.19,37.68,0.34,1.31
Tempest 3515-950Kv  Twin,5.00,950.00,8.00,6.00,18.50,14835.00,70.20,1298.80,554.36,3.64,37.68,0.28,1.23
BadAss 2820-910Kv ,6.00,910.00,10.00,6.00,22.20,14844.00,63.69,1414.00,254.60,3.38,37.68,0.24,0.98
Cobra C-3525/12  Twin,6.00,650.00,9.00,7.50,22.20,11849.00,64.60,1434.20,502.02,3.66,37.64,0.25,1.40
Tempest 2820-1170Kv  Twin,6.00,1170.00,7.00,4.00,22.20,22229.00,92.36,2050.40,351.15,4.54,37.64,0.22,1.16
BadAss 3520-970 ,5.00,970.00,10.00,6.00,18.50,14825.00,72.48,1340.90,268.48,3.32,37.64,0.25,1.06
BadAss 4530-550Kv ,6.00,550.00,14.00,8.50,22.20,10455.00,96.04,2132.00,168.86,5.72,37.64,0.27,1.37
Cobra C-2826/8  Twin,5.00,1130.00,7.00,5.00,18.50,17757.00,61.46,1137.00,633.25,3.00,37.59,0.26,1.23
Cobra C-3520/18  Twin,5.00,550.00,12.00,12.00,18.50,7401.00,66.06,1222.00,589.20,3.57,37.59,0.29,1.32
BadAss 3520-650Kv  Twin,5.00,650.00,11.00,8.50,18.50,10450.00,96.94,1793.60,401.43,5.50,37.59,0.31,1.35
BadAss 3530-890 ,6.00,890.00,10.00,5.00,22.20,17761.00,78.36,1739.60,206.94,4.92,37.59,0.28,1.15
Cobra C-3525/10  Twin,6.00,780.00,8.00,6.00,22.20,14776.00,52.80,1172.00,614.33,4.20,37.55,0.36,1.40
Cobra C-3525/12  Twin,6.00,650.00,11.00,8.00,22.20,11084.00,91.54,2032.00,354.33,7.01,37.55,0.34,1.40
Cobra C-4120/12  Twin,3.00,850.00,12.00,12.00,11.10,7392.00,109.84,1219.20,590.55,3.63,37.55,0.30,1.48
BadAss 2820-910Kv  Twin,5.00,910.00,10.00,7.00,18.50,12669.00,108.72,2011.40,357.96,5.50,37.55,0.27,1.19
BadAss 4520-830Kv  Twin,4.00,830.00,10.00,8.00,14.80,11085.00,93.80,1388.00,518.73,4.14,37.55,0.30,1.68
Tempest 2826-1470Kv  Twin,5.00,1470.00,7.00,4.00,18.50,22164.00,106.14,1963.60,366.67,4.50,37.55,0.23,1.23
Cobra C-3525/12 ,6.00,650.00,11.00,8.00,22.20,11084.00,45.77,1016.00,354.33,3.50,37.55,0.34,1.08
BadAss 2826-820Kv ,6.00,820.00,10.00,6.00,22.20,14785.00,59.31,1316.70,273.41,3.35,37.55,0.25,1.01
BadAss 4530-550Kv ,5.00,550.00,13.00,10.00,18.50,8875.00,74.27,1373.90,262.03,3.41,37.55,0.25,1.36
Cobra C-2826-EF1  Twin,4.00,1200.00,8.00,6.00,14.80,14764.00,86.52,1280.60,562.24,3.71,37.50,0.29,1.24
Cobra C-2826-EF1-SS  Twin,4.00,1200.00,8.00,6.00,14.80,14764.00,86.52,1280.60,562.24,3.71,37.50,0.29,1.24
BadAss 2820-780  Twin,6.00,780.00,8.00,6.00,22.20,14759.00,66.04,1466.20,491.07,3.81,37.50,0.26,1.19
BadAss 3520-560  Twin,6.00,560.00,11.00,8.50,22.20,10426.00,85.04,1887.60,381.44,5.48,37.50,0.29,1.35
BadAss 4530-730Kv ,5.00,730.00,11.00,7.00,18.50,12662.00,70.37,1301.80,276.54,4.21,37.50,0.32,1.36
Cobra C-3520/12  Twin,4.00,820.00,11.00,10.00,14.80,8853.00,92.74,1372.40,524.63,3.84,37.46,0.28,1.32
Cobra C-3520/12  Twin,5.00,820.00,9.00,7.50,18.50,11794.00,78.84,1458.60,493.62,3.65,37.46,0.25,1.32
BadAss 3520-560  Twin,5.00,560.00,11.00,10.00,18.50,8845.00,68.46,1266.60,568.45,3.79,37.46,0.30,1.35
BadAss 3530-890 ,4.00,890.00,12.00,8.00,14.80,11057.00,94.99,1405.90,256.06,3.67,37.46,0.26,1.16
Tempest 4120-830Kv ,4.00,830.00,11.00,8.00,14.80,11059.00,66.81,988.80,364.08,3.44,37.46,0.35,1.11
Cobra C-3525/10  Twin,4.00,780.00,11.00,10.00,14.80,8842.00,89.36,1322.60,544.38,3.86,37.41,0.29,1.40
Cobra C-3525/12  Twin,6.00,650.00,11.00,8.00,22.20,11052.00,92.52,2054.20,350.50,5.93,37.41,0.29,1.40
BadAss 3515-710  Twin,6.00,710.00,10.00,7.00,22.20,12631.00,92.88,2062.00,349.18,6.88,37.41,0.33,1.26
Tempest 2826-1140Kv  Twin,6.00,1140.00,7.00,4.00,22.20,22086.00,88.20,1958.20,367.68,4.50,37.41,0.23,1.22
BadAss 3515-710 ,6.00,710.00,10.00,7.00,22.20,12631.00,46.44,1031.00,349.18,3.44,37.41,0.33,1.02
BadAss 3520-790 ,6.00,790.00,10.00,6.00,22.20,14730.00,56.58,1256.10,286.60,3.22,37.41,0.26,1.06
BadAss 2814-1300  Twin,4.00,1300.00,8.00,6.00,14.80,14719.00,97.00,1435.60,501.53,4.50,37.37,0.31,1.13
BadAss 2820-1350  Twin,5.00,1350.00,7.00,4.00,18.50,22079.00,89.98,1664.60,432.54,4.27,37.37,0.26,1.19
BadAss 3515-940  Twin,5.00,940.00,9.00,6.00,18.50,14705.00,87.72,1622.60,443.73,4.68,37.37,0.29,1.26
BadAss 3515-940  Twin,5.00,940.00,10.00,6.00,18.50,14710.00,88.08,1629.40,441.88,5.67,37.37,0.35,1.26
BadAss 3530-630Kv ,6.00,630.00,11.00,7.00,22.20,12611.00,63.33,1405.80,256.08,3.86,37.37,0.27,1.16
BadAss 2814-1120  Twin,4.00,1120.00,9.00,7.00,14.80,12593.00,106.24,1572.40,457.90,5.09,37.32,0.32,1.13
BadAss 3515-580Kv  Twin,5.00,580.00,11.00,10.00,18.50,8820.00,67.60,1250.60,575.72,3.78,37.32,0.30,1.27
Tempest 4120-600Kv  Twin,6.00,600.00,9.00,7.00,22.20,12600.00,59.68,1325.00,543.40,4.79,37.32,0.36,1.45
Tempest 4120-830Kv  Twin,5.00,830.00,9.00,6.00,18.50,14694.00,86.80,1605.80,448.37,4.50,37.32,0.28,1.45
Cobra C-3525/12  Twin,4.00,650.00,12.00,12.00,14.80,7342.00,77.74,1150.60,625.76,3.49,37.28,0.30,1.40
BadAss 3515-580Kv  Twin,6.00,580.00,11.00,8.50,22.20,10365.00,80.68,1791.20,401.97,5.54,37.28,0.31,1.27
Cobra C-3525/12  Twin,5.00,650.00,12.00,10.00,18.50,8795.00,98.98,1831.20,393.18,5.20,37.24,0.28,1.40
BadAss 2315-1090Kv  Twin,5.00,1090.00,8.00,6.00,18.50,14664.00,68.56,1268.40,567.64,3.91,37.24,0.31,0.78
BadAss 3515-1130  Twin,4.00,1130.00,8.00,6.00,14.80,14656.00,77.10,1141.00,631.03,3.95,37.24,0.35,1.27
Cobra C-4120/14 ,6.00,710.00,11.00,7.00,22.20,12559.00,66.28,1471.40,244.66,3.95,37.24,0.27,1.12
Tempest 4130-690Kv ,5.00,690.00,12.00,8.00,18.50,10990.00,71.54,1323.60,271.99,3.52,37.24,0.27,1.21
Cobra C-4120/20  Twin,6.00,480.00,11.00,10.00,22.20,8782.00,55.40,1229.80,585.46,3.86,37.19,0.31,1.47
BadAss 2820-780  Twin,4.00,780.00,11.00,10.00,14.80,8789.00,90.74,1342.80,536.19,3.83,37.19,0.29,1.19
BadAss 2820-780  Twin,6.00,780.00,9.00,6.00,22.20,14639.00,69.82,1549.80,464.58,4.66,37.19,0.30,1.19
BadAss 3530-650Kv  Twin,5.00,570.00,13.00,10.00,18.50,8789.00,87.44,1617.40,445.16,6.78,37.19,0.42,1.53
BadAss 4520-660Kv  Twin,4.00,660.00,11.00,10.00,14.80,8781.00,81.72,1209.60,595.24,3.68,37.19,0.30,1.68
BadAss 4530-440Kv  Twin,6.00,440.00,14.00,10.00,22.20,8785.00,102.04,2265.20,317.85,8.06,37.19,0.36,1.95
Tempest 2820-970Kv  Twin,4.00,970.00,9.00,8.00,14.80,10981.00,82.16,1216.00,592.11,4.20,37.19,0.35,1.16
BadAss 3530-650Kv ,5.00,570.00,13.00,10.00,18.50,8789.00,43.72,808.70,445.16,3.39,37.19,0.42,1.15
BadAss 4530-440Kv ,6.00,440.00,14.00,10.00,22.20,8785.00,51.02,1132.60,317.85,4.03,37.19,0.36,1.36
BadAss 2814-1120  Twin,6.00,1120.00,7.00,4.00,22.20,21943.00,72.24,1603.60,448.99,3.97,37.15,0.25,1.13
BadAss 3515-710  Twin,5.00,710.00,12.00,8.50,18.50,10323.00,90.66,1677.00,429.34,6.48,37.15,0.39,1.26
BadAss 3520-560  Twin,6.00,560.00,10.00,8.00,22.20,10968.00,59.24,1315.00,547.53,4.16,37.15,0.32,1.35
BadAss 3530-630Kv  Twin,4.00,630.00,11.00,10.00,14.80,8777.00,80.54,1192.00,604.03,3.70,37.15,0.31,1.54
