Motor, Cells, kV, Propeller Diameter (inches), Propeller Pitch (inches), Voltage (V), RPMs, Current (A), Power Consumption (W), Wh Flight time (Seconds), Thrust (Kg), Pitch Speed (m/s), Efficiency = ((thrust/watt)*100), Estimated System Weight (Kg)
BadAss 3520-970 ,4.00,970.00,12.00,8.50,14.80,11420.00,76.99,1139.40,315.96,3.84,41.08,0.34,1.06
Cobra C-4130/12  Twin,6.00,540.00,12.00,10.00,22.20,9691.00,107.66,2390.00,301.26,6.28,41.03,0.26,1.69
BadAss 3530-700  Twin,6.00,700.00,10.00,7.00,22.20,13854.00,109.34,2427.60,296.59,6.32,41.03,0.26,1.53
Cobra C-4130/12 ,6.00,540.00,12.00,10.00,22.20,9691.00,53.83,1195.00,301.26,3.14,41.03,0.26,1.23
BadAss 2826-1030 ,4.00,1030.00,11.00,8.00,14.80,12111.00,64.82,959.30,375.27,3.20,41.03,0.33,1.01
BadAss 3530-700 ,6.00,700.00,10.00,7.00,22.20,13854.00,54.67,1213.80,296.59,3.16,41.03,0.26,1.15
Cobra CP-2814-1450  Twin,4.00,1450.00,7.00,5.00,14.80,19345.00,107.92,1597.20,450.79,3.53,40.95,0.22,1.13
Tempest 4120-830Kv ,5.00,830.00,10.00,7.00,18.50,13820.00,73.32,1356.30,265.43,4.13,40.95,0.30,1.11
BadAss 3515-710  Twin,6.00,710.00,9.00,7.50,22.20,12878.00,84.10,1867.20,385.60,4.34,40.90,0.23,1.26
BadAss 2826-820Kv  Twin,6.00,820.00,8.00,6.00,22.20,16090.00,77.14,1712.40,420.46,4.40,40.86,0.26,1.24
Tempest 4130-690Kv  Twin,6.00,690.00,10.00,7.00,22.20,13785.00,108.10,2400.00,300.00,6.14,40.86,0.26,1.66
BadAss 3530-890 ,4.00,890.00,11.00,8.50,14.80,11358.00,83.59,1237.10,291.00,3.27,40.86,0.26,1.16
Tempest 4130-690Kv ,6.00,690.00,10.00,7.00,22.20,13785.00,54.05,1200.00,300.00,3.07,40.86,0.26,1.21
BadAss 3530-700 ,5.00,700.00,12.00,8.50,18.50,11347.00,57.30,1060.00,339.62,3.86,40.81,0.36,1.15
BadAss 4520-830Kv ,6.00,830.00,10.00,6.00,22.20,16063.00,76.96,1708.40,210.72,3.83,40.81,0.22,1.23
BadAss 4530-730Kv ,5.00,730.00,12.00,8.00,18.50,12056.00,107.75,1993.40,180.60,4.41,40.81,0.22,1.37
BadAss 3530-700 ,6.00,700.00,10.00,7.00,22.20,13751.00,57.88,1284.90,280.18,4.05,40.77,0.31,1.15
BadAss 3530-890 ,4.00,890.00,11.00,8.00,14.80,12040.00,59.93,887.00,405.86,3.18,40.77,0.36,1.15
Tempest 2820-970Kv  Twin,4.00,970.00,9.00,9.00,14.80,10686.00,90.66,1341.80,536.59,3.09,40.72,0.23,1.16
Tempest 2826-920Kv  Twin,5.00,920.00,9.00,7.00,18.50,13746.00,105.98,1960.60,367.23,6.04,40.72,0.31,1.22
Tempest 3515-1330Kv  Twin,6.00,1330.00,7.00,4.00,22.20,24054.00,76.94,1707.80,421.60,4.19,40.72,0.25,1.23
Tempest 2826-920Kv ,5.00,920.00,9.00,7.00,18.50,13746.00,52.99,980.30,367.23,3.02,40.72,0.31,1.00
Cobra C-2826/12  Twin,5.00,760.00,9.00,9.00,18.50,10681.00,66.10,1222.80,588.81,3.21,40.68,0.26,1.23
Tempest 2820-840Kv  Twin,5.00,840.00,9.00,8.00,18.50,12012.00,87.00,1609.60,447.32,5.06,40.68,0.31,1.16
BadAss 3520-970 ,4.00,970.00,11.00,8.00,14.80,12004.00,61.30,907.30,396.78,3.13,40.63,0.34,1.06
BadAss 2820-910Kv  Twin,6.00,910.00,9.00,6.00,22.20,15987.00,99.86,2217.00,324.76,5.53,40.59,0.25,1.19
Tempest 3520-550Kv  Twin,6.00,550.00,11.00,10.00,22.20,9583.00,80.38,1784.40,403.50,4.45,40.54,0.25,1.30
Tempest 4130-690Kv ,6.00,690.00,10.00,7.00,22.20,13688.00,57.66,1279.90,281.27,4.00,40.54,0.31,1.21
BadAss 3530-630Kv ,6.00,630.00,12.00,8.00,22.20,11958.00,87.85,1950.30,184.59,4.31,40.50,0.22,1.17
Cobra C-3515/12  Twin,5.00,1100.00,8.00,6.00,18.50,15923.00,83.08,1537.00,468.45,4.85,40.45,0.32,1.25
Cobra C-3525/12  Twin,5.00,650.00,10.00,10.00,18.50,9557.00,69.56,1286.80,559.53,3.18,40.45,0.25,1.40
BadAss 2820-910Kv  Twin,4.00,910.00,9.00,9.00,14.80,10623.00,81.26,1202.80,598.60,3.10,40.45,0.26,1.19
Tempest 3515-950Kv  Twin,5.00,950.00,9.00,7.00,18.50,13651.00,104.48,1933.00,372.48,5.89,40.45,0.30,1.23
Tempest 3520-550Kv  Twin,6.00,550.00,9.00,9.00,22.20,10613.00,50.92,1130.40,636.94,3.00,40.45,0.27,1.30
Cobra C-3520/10  Twin,5.00,980.00,9.00,7.00,18.50,13638.00,99.88,1847.80,389.65,5.94,40.41,0.32,1.31
Tempest 2814-1400Kv  Twin,5.00,1400.00,6.00,4.30,18.50,22190.00,61.98,1146.60,627.94,3.11,40.41,0.27,1.11
Tempest 4120-700Kv  Twin,6.00,700.00,10.00,7.00,22.20,13645.00,107.88,2394.80,300.65,6.20,40.41,0.26,1.45
Tempest 4120-700Kv ,6.00,700.00,10.00,7.00,22.20,13645.00,53.94,1197.40,300.65,3.10,40.41,0.26,1.11
Tempest 4130-690Kv ,5.00,690.00,11.00,8.50,18.50,11236.00,60.91,1126.90,319.46,3.11,40.41,0.28,1.21
Cobra C-3525/14  Twin,6.00,560.00,11.00,10.00,22.20,9539.00,75.80,1682.60,427.91,4.46,40.36,0.26,1.40
BadAss 2315-1800Kv  Twin,4.00,1800.00,6.00,4.30,14.80,22176.00,81.26,1202.80,598.60,3.11,40.36,0.26,1.04
Cobra C-4120/20  Twin,7.00,480.00,12.00,10.00,25.90,9521.00,86.34,2236.40,321.95,6.07,40.32,0.27,1.47
Cobra C-4120/20 ,7.00,480.00,12.00,10.00,25.90,9521.00,43.17,1118.20,321.95,3.03,40.32,0.27,1.12
BadAss 3530-700 ,5.00,700.00,11.00,8.50,18.50,11212.00,61.44,1136.50,316.76,3.13,40.32,0.28,1.15
Cobra C-2826-EF1  Twin,5.00,1200.00,7.00,5.00,18.50,19019.00,76.16,1409.00,511.00,3.41,40.27,0.24,1.24
Cobra C-2826-EF1-SS  Twin,5.00,1200.00,7.00,5.00,18.50,19019.00,76.16,1409.00,511.00,3.41,40.27,0.24,1.24
Tempest 4120-700Kv ,6.00,700.00,10.00,7.00,22.20,13597.00,55.77,1238.00,290.79,3.92,40.27,0.32,1.11
Tempest 2820-840Kv  Twin,6.00,840.00,8.00,6.00,22.20,15832.00,67.58,1500.40,479.87,4.76,40.23,0.32,1.16
