Motor, Cells, kV, Propeller Diameter (inches), Propeller Pitch (inches), Voltage (V), RPMs, Current (A), Power Consumption (W), Wh Flight time (Seconds), Thrust (lbs), Pitch Speed (ft/s), Efficiency = ((thrust/watt)*100), Estimated System Weight (lbs)
Tempest 4120-600Kv ,5.00,600.00,12.00,6.00,18.50,10074.00,82.84,1532.60,469.79,14.38,57.20,0.94,2.93
Tempest 4130-690Kv ,4.00,690.00,13.00,6.50,14.80,9039.00,103.78,1535.80,468.81,14.38,55.60,0.94,3.39
BadAss 3530-650Kv ,6.00,570.00,12.00,8.00,22.20,10451.00,99.42,2207.00,326.23,14.38,79.20,0.65,3.11
Cobra C-3520/14 ,6.00,700.00,11.00,5.50,22.20,11867.00,80.44,1785.60,403.23,14.37,61.80,0.80,2.65
Cobra C-3525/14 ,5.00,560.00,14.00,8.50,18.50,7678.00,78.90,1459.60,493.29,14.34,61.80,0.98,2.81
Tempest 4120-830Kv ,5.00,830.00,10.00,5.00,18.50,14561.00,99.92,1848.40,389.53,14.34,68.90,0.78,2.93
BadAss 4520-660Kv ,6.00,660.00,14.00,6.00,22.20,12289.00,99.53,2209.50,162.93,14.33,69.80,0.65,2.57
BadAss 4520-470Kv ,6.00,470.00,13.00,8.00,22.20,8779.00,73.92,1641.00,438.76,14.32,66.50,0.87,3.43
Tempest 4120-520Kv ,6.00,520.00,12.00,6.00,22.20,10384.00,71.56,1588.40,453.29,14.31,59.00,0.90,2.94
BadAss 2820-780 ,6.00,780.00,10.00,5.00,22.20,13631.00,80.48,1786.80,402.96,14.31,64.50,0.80,2.36
Tempest 4120-600Kv ,6.00,600.00,11.00,5.50,22.20,12150.00,84.70,1880.20,382.94,14.30,63.30,0.76,2.93
Tempest 3520-550Kv ,5.00,550.00,14.00,8.50,18.50,7662.00,84.24,1558.40,462.01,14.30,61.70,0.92,2.60
BadAss 3515-710 ,5.00,710.00,12.00,8.50,18.50,10323.00,90.66,1677.00,429.34,14.29,83.10,0.85,2.51
BadAss 2826-820Kv ,4.00,820.00,13.00,5.50,14.80,9675.00,100.54,1488.00,483.87,14.29,50.40,0.96,2.48
Cobra C-4120/22 ,6.00,430.00,14.00,7.00,22.20,7806.00,62.40,1385.20,519.78,14.26,51.70,1.03,2.98
BadAss 3520-560 ,5.00,560.00,14.00,6.00,18.50,8814.00,70.50,1304.20,552.06,14.26,50.10,1.09,2.71
BadAss 3520-790 ,4.00,790.00,13.00,5.50,14.80,9734.00,95.22,1409.20,510.93,14.26,50.70,1.01,2.70
Tempest 4120-600Kv ,4.00,600.00,14.00,10.00,14.80,7775.00,98.80,1462.20,492.41,14.26,73.60,0.97,2.93
Cobra C-4130/12 ,6.00,540.00,11.00,8.00,22.20,10357.00,72.00,1598.40,450.45,14.24,78.50,0.89,3.46
BadAss 3515-580Kv ,5.00,580.00,12.00,8.00,18.50,8383.00,83.88,1551.60,464.04,14.24,63.50,0.92,2.54
BadAss 3530-650Kv ,5.00,570.00,13.00,8.00,18.50,8768.00,87.96,1627.20,442.48,14.24,66.40,0.87,3.11
Tempest 4120-600Kv ,6.00,600.00,10.00,7.00,22.20,12267.00,81.32,1805.20,398.85,14.21,81.30,0.79,2.93
Cobra C-4120/16 ,6.00,610.00,11.00,5.50,22.20,11741.00,73.80,1638.40,439.45,14.21,61.20,0.87,2.98
Cobra C-4120/18 ,6.00,540.00,12.00,6.00,22.20,10109.00,67.82,1505.60,478.21,14.21,57.40,0.94,2.98
Tempest 4120-520Kv ,4.00,520.00,14.00,9.00,14.80,6543.00,86.66,1282.60,561.36,14.19,55.80,1.11,2.94
BadAss 3520-790 ,4.00,790.00,12.00,6.50,14.80,9614.00,102.44,1516.20,474.87,14.18,59.20,0.94,2.70
BadAss 2820-780 ,6.00,780.00,10.00,5.80,22.20,13847.00,92.44,2052.40,350.81,14.18,76.10,0.69,2.36
BadAss 4520-660Kv ,5.00,660.00,11.00,7.00,18.50,11031.00,91.48,1692.40,425.43,14.18,73.10,0.84,3.44
BadAss 3530-650Kv ,5.00,570.00,13.00,6.50,18.50,8891.00,79.94,1478.80,486.88,14.17,54.70,0.96,3.11
BadAss 4530-440Kv ,5.00,440.00,18.00,10.00,18.50,6837.00,79.76,1475.60,243.97,14.17,64.70,0.96,2.87
BadAss 3515-580Kv ,6.00,580.00,11.00,8.00,22.20,10446.00,77.56,1721.80,418.17,14.16,79.10,0.82,2.54
